NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,RESOURCE LINK
"Application Insights Smart Detection","Action group","rg-collisionspike-dev","Global","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/microsoft.insights/actiongroups/Application Insights Smart Detection"
"cespike-parser-ai-dev","Application Insights","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Insights/components/cespike-parser-ai-dev"
"cespike-parser-dev-x7xt3d5ovhi7y","Function App","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/sites/cespike-parser-dev-x7xt3d5ovhi7y"
"cespike-parser-law-dev","Log Analytics workspace","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.OperationalInsights/workspaces/cespike-parser-law-dev"
"cespike-parser-plan-dev","App Service plan","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/serverFarms/cespike-parser-plan-dev"
"cespikestx7xt3d","Storage account","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespikestx7xt3d"
"cespkaddr-ai-i7m4re","Application Insights","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Insights/components/cespkaddr-ai-i7m4re"
"cespkaddr-fn-i7m4re","Function App","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/sites/cespkaddr-fn-i7m4re"
"cespkaddr-law-i7m4re","Log Analytics workspace","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.OperationalInsights/workspaces/cespkaddr-law-i7m4re"
"cespkaddr-plan-i7m4re","App Service plan","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/serverFarms/cespkaddr-plan-i7m4re"
"cespkaddrsti7m4re","Storage account","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkaddrsti7m4re"
"cespkdocintel-dev","Document intelligence","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.CognitiveServices/accounts/cespkdocintel-dev"
"cespkenrich-ai-gi62sd","Application Insights","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Insights/components/cespkenrich-ai-gi62sd"
"cespkenrich-fn-gi62sd","Function App","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/sites/cespkenrich-fn-gi62sd"
"cespkenrich-plan-gi62sd","App Service plan","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/serverFarms/cespkenrich-plan-gi62sd"
"cespkenrichkvgi62sd","Key vault","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.KeyVault/vaults/cespkenrichkvgi62sd"
"cespkenrichstgi62sd","Storage account","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkenrichstgi62sd"
