provider_code,label,address_line1,address_line2,postcode,latitude,longitude,suggestion_frequency,last_seen_on,suggestion_rank
ABRAHAMS,"ABRAHAMS · GVR Ltd, Brick Lane Mills · BD8 8JY",GVR Ltd,Brick Lane Mills,BD8 8JY,53.798853,-1.771871,2,2025-11-28,1
ABRAHAMS,"ABRAHAMS · GVR Recovery, City Road · BD8 8JY",GVR Recovery,City Road,BD8 8JY,53.798853,-1.771871,1,2026-06-15,2
ABRAHAMS,"ABRAHAMS · GVR Recovery & Storage, City Road · BD8 8JY",GVR Recovery & Storage,City Road,BD8 8JY,53.798853,-1.771871,1,2026-06-12,3
ABRAHAMS,"ABRAHAMS · GVR Recovery Ltd, City Road · BD8 8JY",GVR Recovery Ltd,City Road,BD8 8JY,53.798853,-1.771871,1,2026-05-18,4
ABRAHAMS,ABRAHAMS · 113 Highgate Road · BD13 1DT,113 Highgate Road,,BD13 1DT,53.770704,-1.826080,1,2026-04-28,5
ABRAHAMS,"ABRAHAMS · KBS Autos Yorkshire Ltd, Cemetery Road · BD7 2QY",KBS Autos Yorkshire Ltd,Cemetery Road,BD7 2QY,53.794356,-1.795121,1,2026-04-22,6
ABRAHAMS,"ABRAHAMS · Gibson Vehicle Rentals Ltd, Trust House · BD1 5LL",Gibson Vehicle Rentals Ltd,Trust House,BD1 5LL,53.791653,-1.744571,1,2026-04-17,7
ABRAHAMS,ABRAHAMS · Rochester Street · BD3 8AU,Rochester Street,,BD3 8AU,53.795149,-1.724132,1,2026-04-09,8
ABRAHAMS,"ABRAHAMS · Gibson Vehicle Rentals Ltd, 5 New Augustus Street · BD1 5LL",Gibson Vehicle Rentals Ltd,5 New Augustus Street,BD1 5LL,53.791653,-1.744571,1,2026-04-07,9
ABRAHAMS,ABRAHAMS · GVR Ltd · BD8 8JY,GVR Ltd,,BD8 8JY,53.798853,-1.771871,1,2025-03-05,10
ABRAHAMS,"ABRAHAMS · Gvr Ltd, City Road · BD8 8JY",Gvr Ltd,City Road,BD8 8JY,53.798853,-1.771871,1,2025-02-27,11
ABRAHAMS,"ABRAHAMS · Gvr, Brick Lane Mills, 296 Thornton Road · BD8 8JY",Gvr,"Brick Lane Mills, 296 Thornton Road",BD8 8JY,53.798853,-1.771871,1,2025-02-24,12
ABRAHAMS,"ABRAHAMS · GVR Ltd, 296 Thornton Road · BD8 8JY",GVR Ltd,296 Thornton Road,BD8 8JY,53.798853,-1.771871,1,2025-02-17,13
ABRAHAMS,ABRAHAMS · 17 Rufford Street · WF2 9PB,17 Rufford Street,,WF2 9PB,53.683126,-1.519663,1,2025-02-06,14
ABRAHAMS,ABRAHAMS · Ganners Garth · LS13 2PA,Ganners Garth,,LS13 2PA,53.818575,-1.628392,1,2025-02-03,15
ABRAHAMS,ABRAHAMS · Flanshaw Lane · WF2 9JF,Flanshaw Lane,,WF2 9JF,53.684238,-1.534989,1,2025-01-20,16
ACSP,ACSP · Priestley Way · RH10 9NT,Priestley Way,,RH10 9NT,51.137643,-0.168953,35,2026-06-08,1
ACSP,ACSP · Brighton Road · RH10 6AE,Brighton Road,,RH10 6AE,51.111162,-0.191087,16,2026-06-16,2
ACSP,"ACSP · Accident Specialists, Priestley Way · RH10 9NT",Accident Specialists,Priestley Way,RH10 9NT,51.137643,-0.168953,8,2026-06-01,3
ACSP,ACSP · Accident Specialists · RH10 6AE,Accident Specialists,,RH10 6AE,51.111162,-0.191087,3,2025-06-13,4
ACSP,ACSP · Dunstable Road · LU4 8BY,Dunstable Road,,LU4 8BY,51.889730,-0.441597,2,2026-01-28,5
ACSP,"ACSP · Accident Specialists, Brighton Road · RH10 6AE",Accident Specialists,Brighton Road,RH10 6AE,51.111162,-0.191087,2,2025-12-19,6
ACSP,ACSP · Antlands Lane · RH6 9TF,Antlands Lane,,RH6 9TF,51.146010,-0.124858,2,2025-09-26,7
ACSP,"ACSP · FAO The Court, C/o Accident Specialists · RH10 6AE",FAO The Court,C/o Accident Specialists,RH10 6AE,51.111162,-0.191087,2,2025-05-15,8
ACSP,ACSP · Theaklen Drive · TN38 9AZ,Theaklen Drive,,TN38 9AZ,50.868572,0.552799,2,2025-04-24,9
ACSP,"ACSP · Customise Bodyshop, Stephenson Way · RH10 1TL",Customise Bodyshop,Stephenson Way,RH10 1TL,51.113860,-0.164579,1,2026-06-16,10
ACSP,ACSP · Veefix · RH10 1TN,Veefix,,RH10 1TN,51.114492,-0.165854,1,2026-04-21,11
ACSP,ACSP · 6 Smitham Bottom Lane · CR8 3DA,6 Smitham Bottom Lane,,CR8 3DA,51.336397,-0.142111,1,2026-03-10,12
ACSP,"ACSP · Primo Bodyworks, Quarry Road · BN9 9DG",Primo Bodyworks,Quarry Road,BN9 9DG,50.786032,0.046968,1,2026-02-10,13
ACSP,ACSP · Dunstable Road · LU4 8BX,Dunstable Road,,LU4 8BX,51.889219,-0.440350,1,2026-01-06,14
