full_postcode,total_cases,distinct_principals,dominant_principal,dominant_principal_name,dominant_principal_cases,known_repairer_at_pc
CH46 4TP,867,11,DFD,"DFD (Richard or Joshua)
Also Car Claims",333,Shaun Marnell Ltd
E7 0NP,153,3,CCM,Crystal Claims Management,72,
RH10 9NT,143,4,RJS,Robert James Solicitors,102,Accident Specialists
B12 0LD,142,4,RJS,Robert James Solicitors,89,
B5 6JX,135,4,FW,Fairway Solicitors,132,Somstar Recovery and Storage
M12 5FX,112,3,QCL,QCL (QCL),97,HS Recovery & Storage Ltd
G41 1BS,86,1,TL,Trident Lloyd,86,
OL4 1JJ,82,1,GG,Graham Coffey (GGP),82,
PA3 1RY,78,1,TL,Trident Lloyd,78,
B6 4JB,75,1,BLACK,BlackStone,75,30 Brewery Street
LU1 1DQ,67,2,RJS,Robert James Solicitors,57,Claim Specialists
M12 4AH,65,2,QCL,QCL (QCL),64,Claim 3000
BL3 2RW,64,1,MP,Montreal Prestige,64,
B9 4QB,62,1,KBS,Knightsbridge (KBS),62,
BL3 6PP,61,1,MP,Montreal Prestige,61,
LU1 3JX,44,3,R1AM,R1am,21,
CW1 4PX,38,1,SS,Savas & Savage,38,
OL1 3NE,36,1,GG,Graham Coffey (GGP),36,
CH41 3NT,30,2,DFD,"DFD (Richard or Joshua)
Also Car Claims",29,
CH41 3PS,28,1,DFD,"DFD (Richard or Joshua)
Also Car Claims",28,Car 2 Go
G41 1AA,28,2,TL,Trident Lloyd,27,
OL1 3QR,25,7,FOCUS,Focus UK One Ltd,6,Britannia Street
B70 8EN,23,1,GG,Graham Coffey (GGP),23,
MK45 4RP,22,2,RJS,Robert James Solicitors,21,
CH41 3QJ,21,1,DFD,"DFD (Richard or Joshua)
Also Car Claims",21,
OL2 6HW,21,4,GG,Graham Coffey (GGP),17,Swade Storage
DE14 3TE,20,1,YML,YM Law/ NETWORK HD UK,20,
CH1 4NT,19,3,SS,Savas & Savage,11,
B70 8NS,19,4,GG,Graham Coffey (GGP),16,
ME7 4HB,19,2,HOW,FAO The Court C/o,15,
OL1 3LA,18,4,AMS,AMS Solicitors,12,
B10 0ND,18,1,KBS,Knightsbridge (KBS),18,
IG1 1BA,18,2,GG,Graham Coffey (GGP),16,
LU3 1AZ,17,2,R1AM,R1am,14,
B70 8EG,17,3,GG,Graham Coffey (GGP),15,
G5 8NB,16,3,OAK,Oakwoods Solicitors,14,Undentit Ltd
G5 8BF,15,1,OAK,Oakwoods Solicitors,15,
CH5 1SF,15,2,YML,YM Law/ NETWORK HD UK,12,Turners Recovery and Storage
EN1 1SP,15,1,FW,Fairway Solicitors,15,Veetec Motor Group
BL3 6SR,14,1,MP,Montreal Prestige,14,
M19 2EX,13,2,DFD,"DFD (Richard or Joshua)
Also Car Claims",12,
RH10 6AE,13,4,ACSP,Accident Specialists (Direct jobs),10,Accident Specialists
ST4 3EF,13,1,KBS,Knightsbridge (KBS),13,
BL9 7ES,13,2,GG,Graham Coffey (GGP),12,
LU4 9BN,13,1,RJS,Robert James Solicitors,13,Claims Specialist
LU13 1AZ,12,1,R1AMMCLASS,Motor Class Hire,12,
B70 8NL,12,2,GG,Graham Coffey (GGP),11,
ST3 5LQ,11,1,KBS,Knightsbridge (KBS),11,Expert Claims
M1 3HW,11,2,KMR,KMR,10,Streetrax Ltd
WS10 9RG,11,2,KBS,Knightsbridge (KBS),9,
B70 9BY,10,2,GG,Graham Coffey (GGP),9,
BB12 6ND,9,1,TEN,Ten Legal,9,
SW16 1TA,9,1,MP,Montreal Prestige,9,
LU4 8BX,9,2,RJS,Robert James Solicitors,7,
TN38 9AZ,9,2,ACSP,Accident Specialists (Direct jobs),5,
M19 3QA,9,3,MBH,MBH Solicitors,7,Parkers Motorbodies
OL16 5DJ,9,1,ASLS,Affinity Seven Law Solicitors,9,
CW1 4PT,8,1,SS,Savas & Savage,8,
KT14 6EW,8,2,DFD,"DFD (Richard or Joshua)
Also Car Claims",7,
RH6 9TF,8,2,RJS,Robert James Solicitors,6,
KY8 5HD,8,1,OAK,Oakwoods Solicitors,8,Leven Coachworks
N18 2SJ,8,1,MP,Montreal Prestige,8,
OL4 1PS,8,1,GG,Graham Coffey (GGP),8,
M11 2DY,8,1,MP,Montreal Prestige,8,
G67 3EN,7,2,OAK,Oakwoods Solicitors,6,
ML6 8QH,7,1,OAK,Oakwoods Solicitors,7,
B18 5ST,7,1,ROZZII,ROZZII/Green Destinations,7,
B9 4PY,7,1,AS,Aman Solicitors Advocates,7,
SA1 5BJ,7,1,DFD,"DFD (Richard or Joshua)
Also Car Claims",7,
LU3 2NL,6,1,CHAUS,Collision Haus,6,
KY1 2NL,6,1,OAK,Oakwoods Solicitors,6,
CH44 7ER,6,4,HVL,Havard Law Solicitors,3,
B10 0XA,6,4,BLACK,BlackStone,2,
KA8 9DJ,6,2,OAK,Oakwoods Solicitors,5,Premier 1 Accident Repair Centre
B25 8HF,6,3,BLACK,BlackStone,3,
B10 0UF,6,2,FW,Fairway Solicitors,5,
SW16 6AH,6,1,MP,Montreal Prestige,6,
WA9 3XN,6,1,HS,Hattons Solicitors Prudential Buildings,6,
OL4 1QW,6,1,GG,Graham Coffey (GGP),6,
KY7 4AA,5,1,OAK,Oakwoods Solicitors,5,
