repairer_code,repairer_name,repairer_postcode,exact_case_count,first_seen,last_seen,shares_postcode_with
SMC1,Shaun Marnell Ltd,CH46 4TP,867,2017-06-14,2026-06-16,
ACC SP,Accident Specialists,RH10 9NT,143,2021-09-21,2026-06-08,
SOM,Somstar Recovery and Storage,B5 6JX,135,2023-09-28,2026-05-21,
HSREC,HS Recovery & Storage Ltd,M12 5FX,112,2024-01-24,2025-02-11,
SAM,30 Brewery Street,B6 4JB,75,2024-11-19,2026-05-06,
CLSP,Claims Specialists,LU1 1DQ,67,2023-03-22,2026-04-22,CS1
CS1,Claim Specialists,LU1 1DQ,67,2023-03-22,2026-04-22,CLSP
3000,Claim 3000,M12 4AH,65,2024-01-19,2026-05-20,
CAR2GO,Car 2 Go,CH41 3PS,28,2017-08-11,2025-12-22,
FRZ,Britannia Street,OL1 3QR,25,2019-09-04,2026-06-18,
SWADE1,Swade Storage,OL2 6HW,21,2023-06-13,2025-05-28,
UNDENTIT,Undentit Ltd,G5 8NB,16,2022-03-02,2025-10-22,
TURNERS,Turners Recovery and Storage,CH5 1SF,15,2023-05-25,2026-04-22,
VEE,Veetec Motor Group,EN1 1SP,15,2025-01-21,2025-04-17,
ACSP OFF,Accident Specialists,RH10 6AE,13,2021-09-28,2026-06-16,
CLAIM2,Claims Specialist,LU4 9BN,13,2024-03-19,2025-02-07,
EXPERT,Expert Claims,ST3 5LQ,11,2025-01-22,2026-05-01,
STREET,Streetrax Ltd,M1 3HW,11,2021-11-30,2026-04-27,
PARK,Parkers Motorbodies,M19 3QA,9,2022-04-29,2025-03-24,
LEVEN,Leven Coachworks,KY8 5HD,8,2024-03-01,2025-03-20,
PREM1,Premier 1 Accident Repair Centre,KA8 9DJ,6,2022-01-06,2025-03-17,
BOX,Box Autos,G68 9HN,5,2023-11-13,2025-03-03,
CHESTER,Chester Car Rentals Ltd,CH4 8RW,5,2021-10-26,2026-02-16,
AUTOWISE,Autowise Accident Management Specialists,G15 8TE,4,2023-10-30,2025-07-24,
GMB,G M Bodyshop,PA15 4TW,4,2021-12-21,2025-04-03,
HAM,Hamilton Auto Services,ML3 9BQ,4,2023-06-08,2025-03-10,
PRISTINE,Pristine Bodyshop Ltd,ML1 4BP,4,2023-07-11,2025-04-14,
ITV,ITV Solutions,DE23 8YJ,3,2025-01-23,2025-04-16,
LEVEL,Level Up Autobody,EH48 2RX,3,2024-03-07,2025-06-04,
RTA,RTA Recovery & Storage,G42 0GG,3,2024-09-10,2024-11-12,
BOTH,Bothwell Accident Repair Centre,ML3 0DW,2,2023-08-21,2023-08-22,
CALDER,Calder Coach Crafts Bodyshop,EH54 9BU,2,2021-12-15,2022-01-07,
CALL,CALL Accident Repair Centre Ltd,ML5 4XD,2,2024-07-05,2025-03-31,
CB CARS,C B Cars Clydebank,G81 1PL,2,2024-02-05,2025-01-17,
DENTZAP,Dentzap,G32 8RG,2,2022-01-06,2025-06-25,
GENESIS,Genesis Coachworks Ltd,ML5 4TD,2,2025-01-16,2025-02-28,
GIBBY,Gibbys Spraying Services,ML7 5QW,2,2025-01-31,2025-02-14,
GLASSR,Glasgow Smart Repair,G52 4LT,2,2024-06-20,2025-03-03,
RSCOACH,RS Coachworks,EH6 8LY,2,2025-03-04,2026-03-17,
A1 COLLIS,A1 Collision UK Ltd,KA3 1LU,1,2025-06-23,2025-06-23,
ATLAS1,Atlas Bodyshop Glasgow,G73 1SX,1,2024-10-18,2024-10-18,
BLACKHILL,Blackhill Recovery Ltd,G22 6AR,1,2024-10-09,2024-10-09,
CLS TEAM,The Claims Team,G20 9AE,1,2025-01-22,2025-01-22,
CSAUTO,C S Auto Repair Ltd,PA15 2TQ,1,2025-03-21,2025-03-21,
EPAC,Ellesmere Port Auto Care,CH65 5EP,1,2023-06-22,2023-06-22,
FRANK,Frank Sime Repairs,PA15 3AD,1,2025-02-03,2025-02-03,
HOLLAND,Hollandhurst Body Repair,ML5 2EG,1,2025-04-03,2025-04-03,
MFS,MFS Design,TD9 9HN,1,2025-06-20,2025-06-20,
MURD,Allan Murdoch Auto Body Repairs,IV30 6AF,1,2025-06-03,2025-06-03,
PARKHEAD,Parkhead VRC,G31 5HP,1,2021-12-15,2021-12-15,
SCOTT,Scott Gibson Bodyshop Ltd,KY1 2HE,1,2025-03-10,2025-03-10,
ST REC,Stirlingshire Recovery,FK7 7NU,1,2025-07-25,2025-07-25,STSHIRE
STSHIRE,Stirlingshire Recovery,FK7 7NU,1,2025-07-25,2025-07-25,ST REC
ULTIMATE,Ultimate Car Body Repairs Ltd,G72 0YS,1,2021-12-03,2021-12-03,
