repairer_code,repairer_name,postcode,principal,date_created,registration,reference,inspection_type
FRZ,Britannia Street,OL1 3QR,WHITELINE,2026-06-18,MX67PXC,34990,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,EXPRESS,2026-06-17,MX18OCF,34946,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,FOCUS,2026-06-17,MX67PZE,34924,Desktop Inspection
SMC1,Shaun Marnell Ltd,CH46 4TP,DFD,2026-06-16,V200REV,34879,Desktop Inspection
ACSP OFF,Accident Specialists,RH10 6AE,ACSP,2026-06-16,KV19SGC,34862,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,FOCUS,2026-06-16,MX18OET,34852,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,VOGUE,2026-06-15,ME17EAM,34825,Desktop Inspection
SMC1,Shaun Marnell Ltd,CH46 4TP,DFD,2026-06-09,KM71GWY,34624,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,SKY,2026-06-08,FN70GOC,34541,Desktop Inspection
ACC SP,Accident Specialists,RH10 9NT,ACSP,2026-06-08,YP15NGU,34534,Desktop Inspection
SMC1,Shaun Marnell Ltd,CH46 4TP,DFD,2026-06-05,KM73XOT,34493,Desktop Inspection
ACC SP,Accident Specialists,RH10 9NT,ACSP,2026-06-04,GJ66UJO,34437,Desktop Inspection
SMC1,Shaun Marnell Ltd,CH46 4TP,DFD,2026-06-02,YT75WMP,34363,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,FOCUS,2026-06-01,NG19YWM,34293,Desktop Inspection
ACC SP,Accident Specialists,RH10 9NT,ACSP,2026-05-29,CX69LEU,34274,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,WHITELINE,2026-05-29,DE68XBS,34255,Desktop Inspection
SMC1,Shaun Marnell Ltd,CH46 4TP,DFD,2026-05-28,CU68OWB,34182,Desktop Inspection
SMC1,Shaun Marnell Ltd,CH46 4TP,DFD,2026-05-22,MJ65FWW,34049,Desktop Inspection
SOM,Somstar Recovery and Storage,B5 6JX,SIX,2026-05-21,EG17GNX,33994,Desktop Inspection
3000,Claim 3000,M12 4AH,QCL,2026-05-20,MT20UMU,33943,Desktop Inspection
ACSP OFF,Accident Specialists,RH10 6AE,ACSP,2026-05-18,ND18KCF,33869,Desktop Inspection
SMC1,Shaun Marnell Ltd,CH46 4TP,DFD,2026-05-18,KY69KYV,33867,Desktop Inspection
SMC1,Shaun Marnell Ltd,CH46 4TP,DFD,2026-05-13,LO63GSU,33709,Desktop Inspection
ACC SP,Accident Specialists,RH10 9NT,ACSP,2026-05-13,KM56KXN,33692,Desktop Inspection
ACC SP,Accident Specialists,RH10 9NT,ACSP,2026-05-07,F8SVM,33478,Desktop Inspection
SAM,30 Brewery Street,B6 4JB,BLACK,2026-05-06,BF16FOT,33418,Desktop Inspection
SAM,30 Brewery Street,B6 4JB,BLACK,2026-05-06,BX66SZV,33416,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,SKY,2026-05-05,MX19CNR,33359,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,EXPRESS,2026-05-05,MX66OYV,33356,Desktop Inspection
SOM,Somstar Recovery and Storage,B5 6JX,FW,2026-05-05,BH17LVP,33340,Desktop Inspection
SOM,Somstar Recovery and Storage,B5 6JX,FW,2026-05-01,LX19EVW,33294,Desktop Inspection
EXPERT,Expert Claims,ST3 5LQ,KBS,2026-05-01,EN16XLM,33278,Desktop Inspection
SAM,30 Brewery Street,B6 4JB,BLACK,2026-05-01,BX67RZU,33272,Desktop Inspection
SMC1,Shaun Marnell Ltd,CH46 4TP,DFD,2026-04-29,DA17PGO,33167,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,FOCUS,2026-04-28,MW70PXH,33134,Desktop Inspection
SOM,Somstar Recovery and Storage,B5 6JX,FW,2026-04-28,BW69TMX,33118,Desktop Inspection
FRZ,Britannia Street,OL1 3QR,VOGUE,2026-04-28,MX19CDH,33114,Desktop Inspection
SAM,30 Brewery Street,B6 4JB,BLACK,2026-04-27,BR18ESF,33099,Desktop Inspection
SAM,30 Brewery Street,B6 4JB,BLACK,2026-04-27,BX66RVE,33096,Desktop Inspection
SAM,30 Brewery Street,B6 4JB,BLACK,2026-04-27,LJ15OZT,33091,Desktop Inspection
STREET,Streetrax Ltd,M1 3HW,KMR,2026-04-27,PN22THG,33089,Desktop Inspection
ACSP OFF,Accident Specialists,RH10 6AE,ACSP,2026-04-27,GV21VKF,33086,Desktop Inspection
SOM,Somstar Recovery and Storage,B5 6JX,FW,2026-04-24,FN65HXC,33043,Desktop Inspection
EXPERT,Expert Claims,ST3 5LQ,KBS,2026-04-23,FX67LKA,32991,Desktop Inspection
