provider_code,total_cases,image_based,image_based_pct,dropped_no_site,unique_sites
QDOS,7414,7405,99.9,8,1
PCH,1286,1281,99.6,4,1
AX,1199,1190,99.2,5,4
QCL,1060,71,6.7,22,132
FW,966,384,39.8,7,97
OAK,796,203,25.5,7,308
RJS,545,66,12.1,23,181
BLACK,474,25,5.3,2,148
DFD,460,21,4.6,7,81
MP,297,7,2.4,7,145
KBS,266,19,7.1,1,58
FRZ,261,14,5.4,0,9
ALS,239,229,95.8,1,9
(individual/VRM),198,0,0.0,0,0
SBL,192,191,99.5,0,1
SWAN,171,33,19.3,3,84
BC,154,82,53.2,3,63
YML,151,11,7.3,1,54
ACSP,138,33,23.9,2,40
KMR,137,37,27.0,5,27
HTU,131,9,6.9,2,22
GGP,109,11,10.1,0,70
AMS,103,17,16.5,2,35
SS,86,6,7.0,4,55
ALISON,72,33,45.8,3,32
CASTLE,70,70,100.0,0,0
TEN,70,37,52.9,1,23
WLS,67,23,34.3,0,40
KB,60,28,46.7,1,28
ALL,43,7,16.3,1,32
R,35,2,5.7,1,20
KERR,32,18,56.2,0,13
TP,32,10,31.2,1,17
MOTORX,30,0,0.0,3,20
STALLION,30,25,83.3,0,5
CHAUS,27,1,3.7,2,8
CW,26,8,30.8,0,12
RELAY,23,20,87.0,1,2
ABRAHAMS,21,4,19.0,0,16
ROZZII,20,4,20.0,0,8
TA,18,18,100.0,0,0
CS,17,0,0.0,0,14
PARKERS,17,5,29.4,0,6
RL,17,12,70.6,0,4
MATT,16,15,93.8,0,1
RC,16,4,25.0,0,11
MBH,12,1,8.3,0,8
PHOUSE,11,6,54.5,0,4
HALO,8,8,100.0,0,0
LEX,8,0,0.0,0,4
PW,7,6,85.7,0,1
WIL,6,1,16.7,0,5
ARSHED,5,0,0.0,0,5
MCADE,5,1,20.0,0,3
AVI,4,3,75.0,0,1
CAN,4,4,100.0,0,0
HVL,4,0,0.0,0,3
MS,4,2,50.0,0,2
RES,4,0,0.0,0,4
SIX,4,1,25.0,0,1
BERWICKS,3,1,33.3,0,2
CC,3,2,66.7,0,1
GG,3,0,0.0,0,3
MONACO,3,1,33.3,0,2
SUSSEX,3,1,33.3,0,2
ZL,3,0,0.0,0,3
AA,2,2,100.0,0,0
AMCD,2,2,100.0,0,0
ARIANA,2,0,0.0,0,2
AS,2,1,50.0,0,1
QCLL,2,0,0.0,0,2
WATER,2,2,100.0,0,0
ARSHEAD,1,0,0.0,0,1
ASLS,1,0,0.0,0,1
BASE,1,1,100.0,0,0
BCM,1,1,100.0,0,0
CMZ,1,1,100.0,0,0
CRC,1,1,100.0,0,0
DJS,1,0,0.0,0,1
DLG,1,1,100.0,0,0
ELMI,1,0,0.0,0,1
FRAZ,1,0,0.0,0,1
GILDEAS,1,0,0.0,0,1
HJ,1,0,0.0,0,1
KHS,1,0,0.0,0,1
LEIGH,1,0,0.0,0,1
M,1,0,0.0,0,1
MORAFIQ,1,0,0.0,0,1
PS,1,0,0.0,0,1
SAMBASIVAN,1,1,100.0,0,0
TAHA,1,0,0.0,0,1
TEST,1,0,0.0,1,0
THORPE,1,0,0.0,1,0
VIG,1,0,0.0,0,1
WALKER,1,0,0.0,0,1
XIG,1,1,100.0,0,0
YUSSUF,1,1,100.0,0,0
ZEN,1,0,0.0,0,1
